Beruf;Kürzel
Näherin im Wäscheschneider-Handwerk;XNW
Naturwerksteinmechaniker(in);BNS
Notarfachangestellte(r);WNO
Oberflächenbeschichter(in);FOB
Ofen- und Luftheizungsbauer(in);BOF
Orgel- und Harmoniumbauer(in);SOH
Orthopädiemechaniker(in) und Bandagist(in) (aB);SOB
Orthopädieschuhmacher(in);SOS
Orthopädietechnik-Mechaniker (in);SOM
Packmitteltechnologe/Packmitteltechnologin;DPT
Papiertechnologe (in) -Papier,Karton,Pappe- (aB);DPP
Papiertechnologe (in) -Zellstoff- (aB);DPZ
Papiertechnologe/Papiertechnologin;DPA
Parkettleger(in);FPA
Patentanwaltsfachangestellte(r);WPF
Pelzveredler(in);XPV
Personaldienstleistungskaufmann(frau);WPD
Pferdewirt(in);APF
Pflanzentechnologe/ -in;APT
Pharmakant(in);CPK
Pharmazeutisch-kaufmännische(r) Angestellte(r);GPK
Physiklaborant(in);CPY
Polster- und Dekorationsnäher(in);FPD
Polsterer(in);FPO
Postverkehrskaufmann/Postverkehrskauffrau (aB);WPV
Produktgestalter(in) - Textil;XPG
Produktionsfachkraft Chemie;CPF
Produktionsmechaniker(in) - Textil;XPR
Produktionstechnologe/Produktionstechnologin;MPT
Produktprüfer(in) - Textil;XPP
Produktveredler(in) - Textil;XPT
Prozeßleitelektroniker(in) (aB);EPE
Radio- und Fernsehtechniker(in) (aB);ERF
Raumausstatter(in);FRA
Raumausstatterwerker(in);FRW
Rechtsanwalts- und Notarfachangestellte(r);WRF
Rechtsanwalts- und/oder Notargehilfe/-gehilfin (aB);WRN
Rechtsanwaltsfachangestellte(r);WRE
Reiseverkehrskaufmann(frau) (aB);WRK
Restaurantfachmann(frau);NRE
Revierjäger (in);ARE
Rohrleitungsbauer(in);BRO
Rollladen- und Jalousiebauer(in) (aB);MRJ
Rollladen- und Sonnenschutzmechatroniker(in);MRS
Sattler(in) - Fahrzeugsattlerei -;XSF
Sattler(in) - Feintäschnerei -;XSN
Sattler(in) - Reitsportsattlerei -;XSS
Sattler(in) (aB);XSA
Sattler(in) (aB);SSA
Schädlingsbekämpfer(in);CSB
Schauwerbegestalter(in) (aB);FSG
Schiffahrtskaufmann(frau);WSC
Schiffbauer(in) - Handwerk (aB);MSB
Schiffsmechaniker(in);MSK
Schiffszimmerer(in) (aB);HSZ
Schilder- und Lichtreklamehersteller(in);FSL
Schleifer(in) (aB);MSC
Schlüssel noch nicht vergeben;SI3
Schlüssel noch nicht vergeben;SI1
Schlüssel noch nicht vergeben;SI2
Schmucktextilienhersteller(in) (aB);XST
Schneidwerkzeugmechaniker(in);MSW
Schornsteinfeger(in);SSF
Schuhfertiger(in);XSU
Schuhmacher(in);XSH
Segelmacher(in);XSE
Seiler(in);SEI
Servicefachkraft für Dialogmarketing;WSD
Servicefahrer/Servicefahrerin;WSE
Servicekaufmann(frau) im Luftverkehr;WLU
Servicekraft für Schutz und Sicherheit;WSS
Siebdrucker(in) (aB);DSD
Sozialversicherungsfachangestellte(r);WSO
Speditionskaufmann(frau) (aB);WSK
Speiseeishersteller(in) (aB);NSE
Spezialtiefbauer(in);BTI
Sport- und Fitnesskaufmann/Sport- und Fitnesskauffrau;WST
Sportfachmann/Sportfachfrau;WSP
Stanz- u. Umformmechaniker/-in;MSU
Steindrucker(in) (aB);DST
Steinmetz und Steinbildhauer(in);BSS
Steuerfachangestellte(r);WSF
Sticker(in);XSI
Stoffprüfer(in)(Chemie)(Glas-,Keram.Ind.,Steine u.Erden);CSP
Straßenbauer(in);BSB
Straßenwärter(in);BSW
Stricker(in);XSR
Stukkateur(in);BST
Süßwarentechnologe / Süßwarentechnologin;NFT
Systemelektroniker(in);EST
Systeminformatiker(in) (aB);ESY
Tankwart(in);WTW
Tapetendrucker(in) (aB);DTP
Tapisserist(in) (aB);XTA
